"CountryName","Year","Lower","Median","Upper"
"Cameroon",2000,137.5,150.4,164.2
"Cameroon",2001,132.9,145.7,159
"Cameroon",2002,127.3,140.2,154
"Cameroon",2003,121,134.7,149.6
"Cameroon",2004,114.2,129.6,146.8
"Cameroon",2005,107.3,125.1,144.9
"Cameroon",2006,100.2,120.7,143.9
"Cameroon",2007,93,116.6,144.7
"Cameroon",2008,85.4,112.8,146.1
"Cameroon",2009,78.6,109,147.4
"Cameroon",2010,72.1,104.8,148.3
"Cameroon",2011,66.6,101,149.1
"Cameroon",2012,61.9,97.4,149.2
"Cameroon",2013,57.3,93.9,148.6
"Cameroon",2014,53.5,90.6,148.2
"Chad",1980,219.4,240.1,263.2
"Chad",1981,218,238.1,260.1
"Chad",1982,216.5,236,257.3
"Chad",1983,214.5,233.5,254.2
"Chad",1984,212.7,230.9,250.8
"Chad",1985,210.5,228.2,247.5
"Chad",1986,208.4,225.5,244.3
"Chad",1987,206.1,222.8,241
"Chad",1988,203.8,220.1,237.8
"Chad",1989,201.5,217.3,234.6
"Chad",1990,199,214.6,231.5
"Chad",1991,196.6,212,228.6
"Chad",1992,194.4,209.4,225.8
"Chad",1993,192.3,207,223.1
"Chad",1994,190.1,204.8,220.5
"Chad",1995,188.1,202.7,218.3
"Chad",1996,186.1,200.6,216.2
"Chad",1997,183.7,198.3,213.9
"Chad",1998,181.1,195.8,211.6
"Chad",1999,178.1,193,209
"Chad",2000,175,190.2,206.3
"Chad",2001,171.9,187.3,203.9
"Chad",2002,168.6,184.6,201.5
"Chad",2003,165.2,181.9,199.5
"Chad",2004,161.3,179.4,198.3
"Chad",2005,157.9,177,197.5
"Chad",2006,154,174.6,196.4
"Chad",2007,149.4,171.5,195.5
"Chad",2008,143.8,168,195.4
"Chad",2009,137.3,164,196
"Chad",2010,129.8,160.1,196.7
"Chad",2011,122,156,198.2
"Chad",2012,114.3,151.6,199.9
"Chad",2013,107.6,147.1,201.3
"Chad",2014,100.7,142.9,202.3
"Comoros",1980,157.1,175.3,197.9
"Comoros",1981,151.8,169.4,191.2
"Comoros",1982,146.3,163.6,184.3
"Comoros",1983,140.9,157.9,177.7
"Comoros",1984,135.4,152.4,171.4
"Comoros",1985,130.7,147.2,165.4
"Comoros",1986,126.1,142.2,159.6
"Comoros",1987,122,137.6,154.3
"Comoros",1988,118.4,133.2,149.3
"Comoros",1989,114.7,129.1,144.2
"Comoros",1990,111.3,125.1,139.7
"Comoros",1991,107.5,121.2,135.5
"Comoros",1992,103.5,117.2,131.7
"Comoros",1993,99,113.6,128.3
"Comoros",1994,94.7,110.5,125.4
"Comoros",1995,90.9,107.8,123
"Comoros",1996,88,105.6,121
"Comoros",1997,85.7,104,119.7
"Comoros",1998,83.8,102.7,118.9
"Comoros",1999,82.4,101.8,118.7
"Comoros",2000,80.9,101.1,119.1
"Comoros",2001,78.7,100.8,119.8
"Comoros",2002,76.4,100.8,121.8
"Comoros",2003,73.7,100.4,125.2
"Comoros",2004,70.9,99.4,129.6
"Comoros",2005,68.1,97.8,133.8
"Comoros",2006,65.3,95.7,137
"Comoros",2007,62.2,93.5,139
"Comoros",2008,59.3,91.2,139.9
"Comoros",2009,56.1,88.5,141.9
"Comoros",2010,52.8,86,142.1
"Comoros",2011,50.2,83.3,143.3
"Comoros",2012,47.3,80.9,143.3
"Comoros",2013,44.5,78.3,143.9
"Comoros",2014,42,75.9,144.1
"Congo",1980,89,111.9,142.9
"Congo",1981,88.5,109.1,135.7
"Congo",1982,87.9,106.2,128.8
"Congo",1983,86.8,103.2,123.3
"Congo",1984,85.6,100.2,118.1
"Congo",1985,84,97.5,113.8
"Congo",1986,82.6,95.3,110.4
"Congo",1987,81.6,93.7,107.8
"Congo",1988,81.1,92.8,106.1
"Congo",1989,81.3,92.8,105.8
"Congo",1990,82.4,93.6,106.4
"Congo",1991,84,95.2,107.6
"Congo",1992,86.5,97.4,109.7
"Congo",1993,89.4,100.2,112.3
"Congo",1994,93,103.8,115.8
"Congo",1995,96.7,107.7,119.9
"Congo",1996,100.7,111.9,124.2
"Congo",1997,104.6,116,128.5
"Congo",1998,107.8,119.3,132
"Congo",1999,109.6,121.4,134.4
"Congo",2000,109.8,121.6,134.8
"Congo",2001,108,119.7,132.5
"Congo",2002,104.6,115.6,127.9
"Congo",2003,99.3,109.8,121.4
"Congo",2004,92.8,102.9,113.9
"Congo",2005,85.3,95.3,105.9
"Congo",2006,77.8,87.4,98.1
"Congo",2007,70.3,79.9,90.5
"Congo",2008,62.9,72.6,83.8
"Congo",2009,55.8,66.1,78.1
"Congo",2010,49.5,60.6,73.9
"Congo",2011,44.2,56.1,70.8
"Congo",2012,39.4,52.6,69
"Congo",2013,35.6,49.6,67.8
"Congo",2014,32.3,47.1,67
"Congo DR",1980,184,212,242.6
"Congo DR",1981,182.3,208.8,237.4
"Congo DR",1982,180.5,205.7,232.5
"Congo DR",1983,178.9,202.8,228.2
"Congo DR",1984,177.2,200.1,223.9
"Congo DR",1985,175.7,197.7,220.3
"Congo DR",1986,174.2,195.3,216.7
"Congo DR",1987,172.9,193,213.3
"Congo DR",1988,171.7,190.8,210.4
"Congo DR",1989,170.4,188.5,207.6
"Congo DR",1990,169.1,186.5,204.7
"Congo DR",1991,167.3,184.3,202
"Congo DR",1992,165.9,182.3,199.5
"Congo DR",1993,164.5,180.3,197.3
"Congo DR",1994,162.9,178.3,195.3
"Congo DR",1995,161.2,176.4,193.3
