"country","period","Median","Lower","Upper"
"Angola","00-04",212.39217662468,198.394979903232,226.675854912476
"Comoros","00-04",97.7291253293583,87.1059999435841,108.71345138067
"Burundi","00-04",142.941343980048,134.935926449958,151.101332277871
"Gambia","00-04",110.815767174795,104.312969603217,117.453739075783
"Cote d'Ivoire","00-04",139.56762077879,133.90677370921,145.14972869799
"Angola","05-09",195.225707877291,177.099889779239,218.255115733342
"Comoros","05-09",95.0661198303503,79.5391738759391,113.507497837978
"Burundi","05-09",114.342226424419,104.288073907415,124.909123957758
"Gambia","05-09",90.975590135338,83.4776755305616,100.364924277283
"Cote d'Ivoire","05-09",121.061570313909,115.650079929413,126.455292610225
"Angola","10-14",173.833840728121,144.341763548513,207.560894104491
"Comoros","10-14",85.9348969720297,66.8373221955286,110.089337298487
"Burundi","10-14",92.2250794230873,78.3794739793676,109.077981385851
"Gambia","10-14",76.267158675304,66.2981836177597,88.826618532014
"Cote d'Ivoire","10-14",102.889271551733,94.9538183312998,110.565725567867
